Uppercase Print,Lowercase Print,Uppercase $\LaTeX$,Lowercase $\LaTeX$,Name
Α,α,$\Alpha$,$\alpha$,alpha
Β,β,$\Beta$,$\beta$,beta
Γ,γ,$\Gamma$ $\varGamma$,$\gamma$,gamma
Δ,δ,$\Delta$ $\varDelta$,$\delta$,delta
Ε,ε,$\Epsilon$,$\epsilon$ $\varepsilon$,epsilon
Ζ,ζ,$\Zeta$,$\zeta$,zeta
Η,η,$\Eta$,$\eta$,eta
Θ,θ,$\Theta$ $\varTheta$,$\theta$ $\vartheta$,theta
Ι,ι,$\Iota$,$\iota$,iota
Κ,κ,$\Kappa$,$\kappa$ $\varkappa$,kappa
Λ,λ,$\Lambda$ $\varLambda$,$\lambda$,lambda
Μ,μ,$\Mu$,$\mu$,mu
Ν,ν,$\Nu$,$\nu$,nu
Ξ,ξ,$\Xi$ $\varXi$,$\xi$,xi
Ο,ο,$\Omicron$,$\omicron$,omicron
Π,π,$\Pi$ $\varPi$,$\pi$ $\varpi$,pi
Ρ,ρ,$\Rho$,$\rho$ $\varrho$,rho
Σ,σ ς,$\Sigma$ $\varSigma$,$\sigma$ $\varsigma$,sigma
Τ,τ,$\Tau$,$\tau$,tau
Υ,υ,$\Upsilon$ $\varUpsilon$,$\upsilon$,upsilon
Φ,φ,$\Phi$ $\varPhi$,$\phi$ $\varphi$,phi
Χ,χ,$\Chi$,$\chi$,chi
Ψ,ψ,$\Psi$ $\varPsi$,$\psi$,psi
Ω,ω,$\Omega$ $\varOmega$,$\omega$,omega
Ϝ,ϝ,N/A,$\digamma$,digamma
